_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
13028	Self-consumption of today	Heutiger Anteil des Eigenverbrauches	%	uint16be	1	0.1	0		value		false	false
13029	Grid state	Netzstatus		int16be	1	0.1	0		value		false	false
13030	Phase A current	Strom Phase A aktuell	A	uint16be	1	0.1	0		value		false	false
13031	Phase B current	Strom Phase B aktuell	A	uint16be	1	0.1	0		value		false	false
13032	Phase C current	Strom Phase C aktuell	A	uint16be	1	0.1	0		value		false	false
13033	Total active power	Eigenverbrauch aktuell	W	int32sw	2	1	0		value		false	false
13035	Daily Import Energy	Gekaufte Energie heute	Kwh	uint16be	1	0.1	0		value		false	false
13036	Total Import Energy	Gekaufte Energie gesamt	Kwh	uint16be	1	0.1	0		value		false	false
13038	Battery Capacity	Batterie-Kapazität	Kwh	uint16be	1	0.1	0		value		false	false
13039	Daily Charge Energy	Batterie-Ladeenergie heute	Kwh	uint16be	1	0.1	0		value		false	false
13040	Total Charge Energy	Batterie-Ladeenergie gesamt	Kwh	uint32sw	2	0.1	0		value		false	false
13044	Daily export energy	Energie Netzeinspeisung heute	Kwh	uint16be	1	0.1	0		value		false	false
13045	Total export energy	Energie Netzeinspeisung gesamt	Kwh	uint32sw	2	0.1	0		value		false	false
13048	EMS_Mode	EMS Modus		uint16be	1	1	0		value		false	false
13049	Inverter alarm	Inverter alarm		uint32sw	2	1	0		value		false	false
13051	Grid-side fault	Netzfehler		uint32sw	2	1	0		value		false	false
13053	System fault 1	System Fehler 1		uint32sw	2	1	0		value		false	false
13055	System fault 2	System Fehler 2		uint32sw	2	1	0		value		false	false
13057	DC-side fault	Fehler DC-Seitig		uint32sw	2	1	0		value		false	false
13059	Permanent fault	Permanenter Fehler		uint32sw	2	1	0		value		false	false
13061	BDC-side fault	BDC-side fault		uint32sw	2	1	0		value		false	false
13063	BDC-side permanent fault	BDC-side permanent fault		uint32sw	2	1	0		value		false	false
13065	Battery fault	Batterie Fehler		uint32sw	2	1	0		value		false	false
13067	Battery alarm	Battery Alarm		uint32sw	2	1	0		value		false	false
13069	BMS alarm	BMS Alarm		uint32sw	2	1	0		value		false	false
13071	BMS protection	BMS protection		uint32sw	2	1	0		value		false	false
13073	BMS fault 1	BMS fault 1		uint32sw	2	1	0		value		false	false
13075	BMS fault 2	BMS fault 2		uint32sw	2	1	0		value		false	false
13077	BMS alarm 2	BMS alarm 2		uint32sw	2	1	0		value		false	false
